date,availability
2022/04/30,28.61505
2022/05/01,29.54887
2022/05/02,29.6725
2022/05/03,29.6131
2022/05/04,30.11721
2022/05/05,30.33864
2022/05/06,30.22292
2022/05/07,28.99792
2022/05/08,28.85916
2022/05/09,28.50777
2022/05/10,29.15836
2022/05/11,29.49419
2022/05/12,29.63408
2022/05/13,29.5325
2022/05/14,28.20134
2022/05/15,27.82254
2022/05/16,27.71372
2022/05/17,27.83949
2022/05/18,28.74652
2022/05/19,29.35781
2022/05/20,29.78574
2022/05/21,28.8121
2022/05/22,29.26254
2022/05/23,28.44719
2022/05/24,28.69129
2022/05/25,29.12654
2022/05/26,26.33851
2022/05/27,27.66075
2022/05/28,28.18667
2022/05/29,28.3537
2022/05/30,31.25221
2022/05/31,31.59133
2022/06/01,31.638
2022/06/02,31.0743
2022/06/03,31.20488
2022/06/04,29.45201
2022/06/05,28.03997
2022/06/06,29.04945
2022/06/07,30.20338
2022/06/08,30.16304
2022/06/09,29.88578
2022/06/10,30.01925
2022/06/11,28.5876
2022/06/12,28.23187
2022/06/13,29.84813
2022/06/14,29.92666
2022/06/15,29.75979
2022/06/16,29.16613
2022/06/17,29.36501
2022/06/18,27.85787
2022/06/19,28.32167
2022/06/20,29.24604
2022/06/21,30.20865
2022/06/22,30.88102
2022/06/23,31.14
2022/06/24,30.24751
2022/06/25,29.00258
2022/06/26,29.67238
2022/06/27,29.58938
2022/06/28,27.53343
2022/06/29,28.88297
2022/06/30,29.0391
2022/07/01,29.33024
2022/07/02,28.27701
2022/07/03,28.1818
2022/07/04,27.97151
2022/07/05,28.42513
2022/07/06,27.61
2022/07/07,28.52577
2022/07/08,28.64049
2022/07/09,28.03359
2022/07/10,27.40368
2022/07/11,29.48073
2022/07/12,29.69375
2022/07/13,27.9205
2022/07/14,27.41405
2022/07/15,26.85902
2022/07/16,25.79021
2022/07/17,25.09081
2022/07/18,25.56934
2022/07/19,25.42837
2022/07/20,26.14675
2022/07/21,26.85996
2022/07/22,26.85574
2022/07/23,26.21962
2022/07/24,25.5953
2022/07/25,24.91033
2022/07/26,25.08117
2022/07/27,25.43339
2022/07/28,26.14651
2022/07/29,26.23955
2022/07/30,26.25281
2022/07/31,25.59104
2022/08/01,25.78797
2022/08/02,27.39131
2022/08/03,28.31673
2022/08/04,28.08631
2022/08/05,26.47669
2022/08/06,26.41588
2022/08/07,26.99049
2022/08/08,28.17859
2022/08/09,28.05723
2022/08/10,28.14353
2022/08/11,26.31303
2022/08/12,27.06066
2022/08/13,25.80185
2022/08/14,25.94916
2022/08/15,26.37926
2022/08/16,26.6575
2022/08/17,27.12563
2022/08/18,28.40328
2022/08/19,28.3549
2022/08/20,24.70937
2022/08/21,24.6374
2022/08/22,25.04708
2022/08/23,25.27492
2022/08/24,24.79524
2022/08/25,24.07467
2022/08/26,24.09369
2022/08/27,22.14508
2022/08/28,21.93459
2022/08/29,24.41195
2022/08/30,25.18884
2022/08/31,25.30278
2022/09/01,25.29625
2022/09/02,24.10134
2022/09/03,22.69833
2022/09/04,23.29719
2022/09/05,24.90529
2022/09/06,25.52092
2022/09/07,25.59121
2022/09/08,25.6409
2022/09/09,25.66246
2022/09/10,25.43672
2022/09/11,26.71941
2022/09/12,27.90939
2022/09/13,27.43627
2022/09/14,27.27508
2022/09/15,27.87375
2022/09/16,27.92208
2022/09/17,27.03746
2022/09/18,27.35033
2022/09/19,28.53746
2022/09/20,28.36393
2022/09/21,28.63287
2022/09/22,27.86992
2022/09/23,28.06152
2022/09/24,27.61127
2022/09/25,28.31835
2022/09/26,28.69146
2022/09/27,29.40328
2022/09/28,29.38624
2022/09/29,27.45924
2022/09/30,27.34551
2022/10/01,27.30955
2022/10/02,26.72542
2022/10/03,26.87833
2022/10/04,27.38847
2022/10/05,27.01585
2022/10/06,26.50526
2022/10/07,27.5455
2022/10/08,28.65629
2022/10/09,29.542
2022/10/10,30.15993
2022/10/11,30.25
2022/10/12,30.22552
2022/10/13,29.64229
2022/10/14,29.74222
2022/10/15,27.65535
2022/10/16,27.78051
2022/10/17,27.91941
2022/10/18,28.54149
2022/10/19,27.8085
2022/10/20,27.12505
2022/10/21,28.70664
2022/10/22,31.12792
2022/10/23,31.78001
2022/10/24,32.075
2022/10/25,32.06552
2022/10/26,30.31208
2022/10/27,30.06254
2022/10/28,30.275
2022/10/29,27.19241
2022/10/30,27.06611
2022/10/31,29.44541
2022/11/01,28.67827
2022/11/02,29.5437
2022/11/03,29.97
2022/11/04,30.175
2022/11/05,30.17157
2022/11/06,30.18215
2022/11/07,30.40858
2022/11/08,31.1849
2022/11/09,31.22
2022/11/10,31.18255
2022/11/11,30.59933
2022/11/12,30.5501
2022/11/13,30.39402
2022/11/14,31.18374
2022/11/15,31.18292
2022/11/16,31.15775
2022/11/17,31.46456
2022/11/18,31.939
2022/11/19,31.07734
2022/11/20,31.45733
2022/11/21,32.17212
2022/11/22,32.45687
2022/11/23,32.92052
2022/11/24,33.58742
2022/11/25,33.62875
2022/11/26,32.42333
2022/11/27,31.52878
2022/11/28,33.63605
2022/11/29,34.67232
2022/11/30,35.38823
2022/12/01,35.28711
2022/12/02,35.97489
